City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Novochernorechenskiy,RU,2022-04-15 08:36:27,56.2669,91.0828,49.21,54,35,6.4
265,Kiama,AU,2022-04-15 08:36:27,-34.6833,150.8667,68.58,78,88,9.69
266,Sao Paulo De Olivenca,BR,2022-04-15 08:36:27,-3.3783,-68.8725,71.85,100,100,0.89
267,Chapais,CA,2022-04-15 08:32:45,49.7834,-74.8492,29.98,91,23,6.4
268,San Miguel De Cauri,PE,2022-04-15 08:36:28,-10.1,-76.5833,43.81,81,76,2.44
269,Lircay,PE,2022-04-15 08:36:28,-12.9896,-74.7205,46.2,85,75,2.86
270,Provideniya,RU,2022-04-15 08:36:28,64.3833,-173.3,33.21,96,100,17.78
271,Coihaique,CL,2022-04-15 08:33:01,-45.5752,-72.0662,48.81,100,0,3.44
272,Belmonte,BR,2022-04-15 08:36:29,-15.8631,-38.8828,78.6,88,72,9.35
273,Fairlie,GB,2022-04-15 08:36:29,55.756,-4.8556,53.51,86,100,6.55
274,Komsomolskiy,UZ,2022-04-15 08:36:30,40.4272,71.7189,79.52,25,0,6.91
275,Trujillo,PE,2022-04-15 08:34:39,-8.116,-79.03,62.56,94,100,8.05
276,Palmer,US,2022-04-15 08:37:30,42.1584,-72.3287,51.35,72,0,0.0
277,Krasnoselkup,RU,2022-04-15 08:37:31,65.7,82.4667,35.58,100,100,12.64
278,Bara,NG,2022-04-15 08:37:31,10.3744,10.7288,74.98,44,100,10.18
279,Port Hedland,AU,2022-04-15 08:37:31,-20.3167,118.5667,93.25,55,6,10.36
280,Ulaanbaatar,MN,2022-04-15 08:36:47,47.9077,106.8832,48.33,21,0,13.42
281,Pangnirtung,CA,2022-04-15 08:37:32,66.1451,-65.7125,-6.29,87,19,4.61
282,Carbonia,IT,2022-04-15 08:37:32,39.1672,8.5222,65.35,31,99,5.08
283,Sedalia,US,2022-04-15 08:37:15,38.7045,-93.2283,48.85,46,0,9.22
284,Namibe,AO,2022-04-15 08:37:33,-15.1961,12.1522,70.43,83,20,0.0
285,Ginda,IN,2022-04-15 08:37:33,30.6945,78.4932,77.76,15,78,4.79
286,Camacha,PT,2022-04-15 08:37:33,33.0833,-16.3333,58.42,77,75,10.36
287,Launceston,AU,2022-04-15 08:37:34,-41.45,147.1667,59.14,90,100,6.91
288,Parintins,BR,2022-04-15 08:37:34,-2.6283,-56.7358,72.23,99,100,2.33
289,Opuwo,NA,2022-04-15 08:37:34,-18.0607,13.84,79.25,35,0,4.23
290,Zarumilla,PE,2022-04-15 08:37:35,-3.5031,-80.2731,71.33,95,86,2.01
291,Bredy,RU,2022-04-15 08:37:35,52.4153,60.3411,55.18,44,100,11.97
292,Miyako,JP,2022-04-15 08:37:36,39.6367,141.9525,37.92,96,100,8.1
293,Faanui,PF,2022-04-15 08:37:36,-16.4833,-151.75,81.79,72,7,16.91
