City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Pacific Grove,US,36.6177,-121.9166,57.22,79,0,6.91,clear sky
224,Kaitangata,NZ,-46.2817,169.8464,56.34,55,6,20.47,clear sky
225,Menemen,TR,38.6075,27.0694,51.17,87,0,0.0,clear sky
226,Tiarei,PF,-17.5333,-149.3333,87.82,76,12,15.79,few clouds
227,Gillette,US,44.2911,-105.5022,22.12,74,100,6.91,overcast clouds
228,Say,NE,13.1007,2.3689,81.16,58,100,13.04,overcast clouds
229,Besikduzu,TR,41.052,39.2284,44.49,80,2,4.54,clear sky
230,San Jose Del Palmar,CO,4.9742,-76.2283,64.65,99,100,0.69,heavy intensity rain
231,Kommunisticheskiy,RU,61.6789,64.4819,30.0,97,100,6.35,light snow
232,Upernavik,GL,72.7868,-56.1549,-17.7,98,34,6.42,scattered clouds
233,Kiunga,PG,-6.1219,141.2906,91.94,53,91,0.69,overcast clouds
234,Ijui,BR,-28.3878,-53.9147,55.42,90,0,7.02,clear sky
235,Guerrero Negro,MX,27.9769,-114.0611,59.58,80,92,14.05,overcast clouds
236,Paamiut,GL,61.994,-49.6678,21.72,78,20,13.22,few clouds
237,Tsumeb,NA,-19.2333,17.7167,64.53,57,41,4.14,scattered clouds
238,Marawi,PH,7.9986,124.2928,82.17,59,78,3.33,broken clouds
239,Naantali,FI,60.4674,22.0243,32.11,86,0,3.44,clear sky
240,Hualmay,PE,-11.0964,-77.6139,66.34,86,26,11.03,scattered clouds
241,Roald,NO,62.5833,6.1333,45.75,93,51,8.05,broken clouds
242,Gayny,RU,60.3071,54.3241,25.48,90,100,9.89,overcast clouds
243,Portland,US,45.5234,-122.6762,53.64,50,20,1.01,few clouds
244,Homer,US,59.6425,-151.5483,40.89,65,20,11.01,few clouds
245,Imeni Poliny Osipenko,RU,52.4201,136.4853,34.79,95,100,3.2,light snow
246,Komsomolskiy,UZ,40.4272,71.7189,65.12,39,9,6.91,clear sky
247,Baringo,KE,0.4667,35.9667,69.12,60,100,3.56,overcast clouds
248,Balad,IQ,34.0164,44.1453,61.54,27,0,6.89,clear sky
249,Venustiano Carranza,MX,19.43,-99.0992,73.38,38,40,13.8,scattered clouds
250,Buraydah,SA,26.326,43.975,72.05,41,0,8.66,clear sky
251,Hluti,SZ,-27.2167,31.6167,63.86,73,100,9.86,overcast clouds
252,Victoria,HK,22.2855,114.1577,77.18,72,96,23.0,overcast clouds
253,Gizo,SB,-8.103,156.8419,84.45,70,100,4.29,light rain
254,Zhezkazgan,KZ,47.8043,67.7144,48.18,57,0,11.18,clear sky
255,Soloneshnoye,RU,51.6544,84.3197,55.13,47,0,3.02,clear sky
256,Norman Wells,CA,65.282,-126.8329,14.04,48,40,10.36,scattered clouds
257,Galle,LK,6.0367,80.217,84.09,73,45,3.2,scattered clouds
258,Dukhovshchina,RU,55.1919,32.4111,33.66,86,100,11.88,overcast clouds
259,Paita,PE,-5.0892,-81.1144,68.45,80,60,15.5,broken clouds
260,Tandil,AR,-37.3217,-59.1332,51.69,76,2,5.41,clear sky
261,Bozhou,CN,33.8772,115.7703,61.34,26,100,6.31,overcast clouds
262,Bournemouth,GB,50.7205,-1.8795,50.49,92,1,4.79,clear sky
263,Vestmannaeyjar,IS,63.4427,-20.2734,47.12,89,42,33.15,scattered clouds
264,Tual,ID,-5.6667,132.75,84.18,73,99,8.5,overcast clouds
265,Barstow,US,34.8986,-117.0228,74.39,34,12,20.07,few clouds
266,Beloha,MG,-25.1667,45.05,74.32,74,73,4.05,broken clouds
267,Bacolod,PH,10.6667,122.95,85.19,68,76,5.55,broken clouds
268,Touros,BR,-5.1989,-35.4608,79.92,81,82,7.27,broken clouds
269,Hasaki,JP,35.7333,140.8333,55.8,80,100,26.84,overcast clouds
270,Atasu,KZ,48.6814,71.6433,58.19,23,17,8.37,few clouds
271,Iqaluit,CA,63.7506,-68.5145,-0.67,71,20,8.05,few clouds
272,Cardston,CA,49.2,-113.3019,24.89,58,48,5.75,scattered clouds
273,Saint Austell,GB,50.3383,-4.7658,52.36,93,75,4.61,broken clouds
274,Vanimo,PG,-2.6741,141.3028,85.78,68,50,6.26,scattered clouds
275,Sassandra,CI,4.95,-6.0833,76.48,91,96,4.32,light rain
276,Siocon,PH,7.7061,122.1353,86.72,65,70,2.64,broken clouds
277,Gorin,RU,51.1983,136.6669,40.91,72,100,4.07,overcast clouds
278,Poum,NC,-20.2333,164.0167,78.04,69,24,12.86,few clouds
279,Tres Arroyos,AR,-38.3739,-60.2798,51.85,65,0,8.97,clear sky
280,Suleja,NG,9.1758,7.1808,76.19,73,100,1.77,overcast clouds
281,Tomatlan,MX,19.9333,-105.25,69.49,80,100,1.03,overcast clouds
282,Aginskoye,RU,51.1,114.53,45.27,49,100,13.6,overcast clouds
283,Picton,AU,-34.1833,150.6,75.9,63,54,3.53,broken clouds
284,Guanare,VE,9.0418,-69.7421,80.62,69,100,2.3,overcast clouds
285,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.75,75,0,6.91,clear sky
286,Romny,UA,50.751,33.4747,47.37,92,95,8.3,overcast clouds
287,Lewistown,US,40.5992,-77.5714,63.81,25,0,13.8,clear sky
288,Seoul,KR,37.5683,126.9778,63.79,35,0,9.22,clear sky
289,Vernon,CA,50.2581,-119.2691,47.01,33,57,1.14,broken clouds
290,Dwarka,IN,22.2394,68.9678,81.66,69,0,10.4,clear sky
291,Sabang,ID,5.8933,95.3214,83.1,71,80,1.3,broken clouds
292,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,68.13,39,65,4.99,broken clouds
293,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,75,14.97,light rain
294,Lavrentiya,RU,65.5833,-171.0,29.91,96,100,14.9,light snow
295,Isla Mujeres,MX,21.2311,-86.731,78.17,81,8,12.28,clear sky
296,Batticaloa,LK,7.7102,81.6924,82.45,77,73,5.86,broken clouds
297,Methoni,GR,36.8197,21.7049,63.21,67,94,4.14,overcast clouds
298,Kieta,PG,-6.2167,155.6333,84.49,71,87,4.05,light rain
299,Xuanhua,CN,40.6103,115.0447,56.53,10,0,6.08,clear sky
300,Erzurum,TR,40.0,41.5,31.68,92,17,1.9,few clouds
301,Aneho,TG,6.2333,1.6,82.6,80,93,8.7,overcast clouds
302,Henties Bay,NA,-22.116,14.2845,58.5,88,0,5.19,clear sky
303,Porto Torres,IT,40.835,8.3972,46.58,68,19,1.23,few clouds
304,Banda Aceh,ID,5.5577,95.3222,84.94,68,47,1.66,scattered clouds
305,Gimli,CA,50.6336,-96.9907,21.22,49,100,13.8,overcast clouds
306,Ugoofaaru,MV,5.6667,73.0,84.33,70,100,8.08,overcast clouds
307,Pisco,PE,-13.7,-76.2167,66.02,82,0,13.8,clear sky
